Polish ,Korean (human translations) - (Lara),Korean alternate (human translations) - Austin,Korean Formal (human translations),Korean Informal (human translations),"Korean Machine Translations (""model name"") - Sabina",Formality,Korean Machine Translations (OpenNMT) - Lara,Formality,Korean Machine Translations (Yandex.Translate) - Austin,Formality,English,Sentence Structure,Topic Type,Source (if applicable),,,,,
"Rząd polski wprowadził program 500 plus, który przynosi wsparcie finansowe dla rodzin z dziećmi.",폴란드 정부는 자녀가 있는 가정에 재정적 지원을 제공하는 500 플러스 프로그램을 도입했다,,폴란드 정부는 자녀가 있는 가정에 재정적 지원을 제공하는 500 플러스 프로그램을 도입했습니다.,폴란드 정부는 자녀가 있는 가정에 재정적 지원을 제공하는 500 플러스 프로그램을 도입했다.,폴란드 정부는 자녀가있는 가족을위한 재정 지원을 제공하는 500 플러스 프로그램을 도입했습니다.,Formal,폴란드 정부는 가족을위한 500 플러스 재정 지원을 도입했습니다.,Formal,폴란드 정부는 500 명 이상의 프로그램을 도입하여 자녀를 둔 가족들에게 재정적 지원을 제공합니다.,Formal,"The Polish government introduced the 500 plus program, which provides financial support for families with children.",Simple,Politics,,Declarative sentences: 50,,,,
W Polsce istnieje dwuizbowy parlament: Sejm i Senat.,폴란드에는 Sejm과 상원의 두 챔버 의회가 있다. ,,폴란드에는 Sejm과 상원의 두 챔버 의회가 있습니다.,폴란드에는 Sejm과 상원의 두 챔버 의회가 있다.,폴란드에는 두 개의 의회가 있습니다 : 국회와 상원.,Formal,폴란드에는 두 개의 의회가 있습니다 : Sejm 및 Senat.,Formal,폴란드 공화국은 세임과 상원이라는 양원 의회를 가지고 있다.,Informal,Poland has a two-chamber parliament: the Sejm and the Senate.,Simple,Politics,,Expressions: 50,,,,
Polska jest członkiem Unii Europejskiej od 2004 roku.,폴란드는 2004년부터 유럽 연합의 회원국이 되었다.,,폴란드는 2004년부터 유럽 연합의 회원국이 되었습니다.,폴란드는 2004년부터 유럽 연합의 회원국이 되었다.,폴란드는 2004년부터 유럽연합의 일원이다.,Informal,폴란드는 2004년부터 유럽 연합의 일원입니다.,Formal,폴란드 공화국은 2004 년부터 유럽 연합의 회원국입니다.,Formal,Poland has been a member of the European Union since 2004.,Simple,Politics,,,,,,
Wszyscy obywatele kraju powinni mieć równy dostęp do politycznego procesu i możliwość wyrażania swojego zdania w sprawach publicznych.,국가의 모든 시민은 정치 과정에 동등하게 접근하고 공적 문제에 대해 자신의 의견을 표현할 기회를 가져야 한다,,국가의 모든 시민은 정치 과정에 동등하게 접근하고 공적 문제에 대해 자신의 의견을 표현할 기회를 가져야 합니다.,국가의 모든 시민은 정치 과정에 동등하게 접근하고 공적 문제에 대해 자신의 의견을 표현할 기회를 가져야 한다.,국가의 모든 시민은 정치 과정에 평등한 접근과 공공 문제에 대한 자신의 의견을 표현할 수있는 기회를 가질 수 있어야합니다.,Formal,국가의 모든 시민은 정치 프로세스에 대한 접근과 공공의 affairs의 주장을 표현 할 수있는 능력을해야합니다.,Formal,이 나라의 모든 시민은 정치 과정에 평등하게 접근 할 수 있어야하며 공공 사안에서 자신의 의견을 표현할 수있는 기회를 가져야합니다.,Formal,All citizens of the country should have equal access to the political process and the opportunity to express their opinions on public matters.,Complex,Conversational / Everyday Phrases,ChatGPT,,,,,
"W przyszłym tygodniu będę brał udział w biegu maratońskim, więc muszę jeszcze trochę potrenować.","다음 주에 나는 마라톤에 참가할 예정이기 때문에, 아직 조금 더 훈련이 필요하다.",다음 주에 나는 마라톤에 참가할 것이기 때문에 아직 훈련을 조금 더 해야 한다.,다음 주에 나는 마라톤에 참가할 것이기 때문에 아직 훈련을 조금 더 해야 합니다.,다음 주에 나는 마라톤에 참가할 것이기 때문에 아직 훈련을 조금 더 해야 한다.,다음 주에 마라톤 경주에 참가할 수 있으므로 조금 더 훈련해야합니다.,Formal,"앞으로 일주일에, Będa는 마라톤에 참여했다, 그래서 그는 복구를 강제했다.",Informal,나는 다음 주에 마라톤을 뛸 것이므로 조금 연습해야합니다.,Formal,"Next week, I will be participating in a marathon, so I still have to train a bit more.",Simple,Sports,,,,,,
Polska siatkówka kobiet awansowała do półfinału Mistrzostw Europy.,폴란드 여자배구팀은 유럽선수권대회 준결승에 진출했다.,폴란드 여자 배구 팀은 유럽 선수권 대회 준결승에 진출했다.,폴란드 여자 배구 팀은 유럽 선수권 대회 준결승에 진출 했습니다.,폴란드 여자 배구 팀은 유럽 선수권 대회 준결승에 진출했다.,폴란드 여성 네트워크는 유럽 챔피언십의 절반 결승전에 진출했다.,Informal,폴란드 여성 배구 팀은 유럽 선수권 대회의 세미 파이널에 승진했다.,Informal,폴란드 여자 배구 선수는 유럽 선수권 대회 준결승에 진출했다.,Informal,The Polish women's volleyball team advanced to the semifinals of the European Championships.,Simple,Sports,,,,,,
Polska drużyna kajakarska zdobyła siedem medali na Mistrzostwach Europy w kajakarstwie górskim.,폴란드 카누 팀은 급류 카약 유럽 선수권 대회에서 7개의 메달을 획득했다.,,폴란드 카누 팀은 급류 카약 유럽 선수권 대회에서 7개의 메달을 획득했습니다.,폴란드 카누 팀은 급류 카약 유럽 선수권 대회에서 7개의 메달을 획득했다.,폴란드 카야카 팀은 유럽 챔피언십에서 7 개의 메달을 획득했습니다.,Formal,폴란드는 Caucasus 산맥의 유럽 선수권 대회에서 7 메달을 수상했습니다.,Formal,폴란드 카약 선수단은 유럽 카약 선수권 대회에서 7 개의 메달을 획득했다.,Informal,The Polish canoeing team won seven medals at the European Championships in whitewater kayaking.,Simple,Sports,ChatGBT,,,,,
Robert Lewandowski został wybrany najlepszym piłkarzem Europy przez UEFA.,Robert Lewandowski는 UEFA가 선정한 최고의 유럽 축구 선수로 선정되었다. ,Robert Lewandowski는 UEFA가 선정한 유럽 최고 축구 선수로 선정되었다.,Robert Lewandowski는 UEFA가 선정한 유럽 최고 축구 선수로 선정되었습니다.,Robert Lewandowski는 UEFA가 선정한 유럽 최고 축구 선수로 선정되었다.,로버트 레반도프스키는 유럽 최고의 축구 선수로 선정되었다.,Informal,Robert Levandowski는 UEFA의 유럽 최고의 선수로 선정되었습니다.,Formal,로버트 레반도프스키는 유럽 최고의 축구 선수로 선정되었다.,Informal,Robert Lewandowski was titled the best European footballer by UEFA.,Simple,Sports,ChatGBT,,,,,
Po raz pierwszy w historii mistrzostwa świata w piłce nożnej odbędą się w Katarze zimą z powodu ekstremalnie wysokich temperatur latem.,여름에 매우 높은 기온 때문에 역사상 처음으로 FIFA 월드컵은 겨울에 카타르에서 개최될 것이다.,역사상 처음으로 여름에 매우 높은 기온 때문에 FIFA 월드컵은 카타르에서 겨울에 개최될 것이다.,역사상 처음으로 여름에 매우 높은 기온 때문에 FIFA 월드컵은 카타르에서 겨울에 개최될 것입니다.,역사상 처음으로 여름에 매우 높은 기온 때문에 FIFA 월드컵은 카타르에서 겨울에 개최될 것이다.,세계 축구 선수권 대회는 여름에 극도로 높은 온도로 인해 겨울에 개최될 예정이다.,Informal,"축구 월드컵의 역사에서 처음으로, 공은 극단적인 고열 때문에 겨울에 있을 것입니다.",Formal,"역사상 처음으로,피파 월드컵은 여름에 극도로 높은 기온으로 인해 겨울에 카타르에서 개최됩니다.",Formal,"For the first time in history, the FIFA World Cup will be held in Qatar during winter due to extremely high temperatures in the summer.",Complex,Sports,ChatGBT,,,,,
"Mistrzostwa świata w piłce nożnej kobiet odbędą się w 2023 roku w Australii i Nowej Zelandii, co oznacza pierwszy raz, gdy dwie federacje organizują wspólny turniej.","여자 월드컵은 2023년 호주와 뉴질랜드에서 열릴 예정이며, 두 연맹이 토너먼트를 공동 주최하는 것은 이번이 처음이다.","여자 월드컵은 2023년에 호주와 뉴질랜드에서 열릴 예정이며, 이번 대회는 두 연맹이 공동 주최하는 최초의 대회이다.","여자 월드컵은 2023년에 호주와 뉴질랜드에서 열릴 예정이며, 이번 대회는 두 연맹이 공동 주최하는 최초의 대회입니다.","여자 월드컵은 2023년에 호주와 뉴질랜드에서 열릴 예정이며, 이번 대회는 두 연맹이 공동 주최하는 최초의 대회이다.","세계 여성 축구 선수권 대회는 오스트레일리아와 뉴질랜드에서 2023년에 개최될 예정이며, 이는 두 연방이 공동 대회를 개최하는 데 처음이다.",Informal,"Women's World Cup은 호주와 뉴질랜드에서 2023년에 개최되었으며, 두 명의 여성이 공통 토너먼트를 조직했을 때 첫 번째 시간을 의미했습니다.",Formal,"여자 월드컵은 2023 년 호주와 뉴질랜드에서 개최되며,두 연맹이 공동 대회를 개최하는 것은 처음이다.",Informal,"The Women's World Cup will be held in 2023 in Australia and New Zealand, marking the first time two federations co-host the tournament.",Complex,Sports,ChatGBT,,,,,
"Cristiano Ronaldo, który zaczął swoją karierę piłkarską w Portugalii, grał w wielu europejskich klubach, takich jak Manchester United, Real Madryt i Juventus, i jest uważany za jednego z najlepszych piłkarzy na świecie.","포르투갈에서 축구를 시작한 크리스티아누 호날두는 맨체스터 유나이티드, 레알 마드리드, 유벤투스 등 유럽 여러 클럽에서 뛰며 세계 최고의 축구 선수 중 한 명으로 꼽힌다.","크리스티아누 호날두는 포르투갈 출신으로 축구를 시작하였으며, 맨체스터 유나이티드, 레알 마드리드, 유벤투스 등 유럽의 다양한 클럽에서 뛰며 세계 최고의 축구 선수 중 한 명으로 꼽힌다.","크리스티아누 호날두는 포르투갈 출신으로 축구를 시작하였으며, 맨체스터 유나이티드, 레알 마드리드, 유벤투스 등 유럽의 다양한 클럽에서 뛰며 세계 최고의 축구 선수 중 한 명으로 꼽힙니다.","크리스티아누 호날두는 포르투갈 출신으로 축구를 시작하였으며, 맨체스터 유나이티드, 레알 마드리드, 유벤투스 등 유럽의 다양한 클럽에서 뛰며 세계 최고의 축구 선수 중 한 명으로 꼽힌다.","포르투갈에서 축구 경력을 시작한 크리스티아노 론도 (Cristiano Ronaldo)는 맨체스터 유나이티드 (Manchester United), 레알 마드리드 (Real Madrid) 및 유벤투스 (Juventus)와 같은 많은 유럽 클럽에서 플레이했으며 세계 최고의 축구 선수 중 하나로 간주됩니다.",Formal,"Cristiano Ronaldo는 포르투갈에서 축구 경력을 시작했으며 맨체스터 유나이티드, Real Madrid 및 Juventus와 같은 많은 유럽 클럽에서 연주했으며 세계에서 최고의 선수 중 하나로 간주됩니다.",Formal,"포르투갈에서 축구 경력을 시작한 크리스티아누 호날두는 맨체스터 유나이티드,레알 마드리드,유벤투스 등 많은 유럽 클럽에서 뛰었으며 세계 최고의 선수 중 한 명으로 간주됩니다.",Formal,"Cristiano Ronaldo, who started his football career in Portugal, has played for many European clubs such as Manchester United, Real Madrid, and Juventus, and is considered one of the best football players in the world.",Compound,Sports,ChatGBT,,,,,
Trzymać kciuki,손가락을 교차하다.,,손가락을 교차하다.,손가락을 교차하다.,손가락을 잡아,Informal,그는 3 걷고 싶어.,Informal,손가락을 교차.,Informal,"To keep one's fingers crossed (literally ""to hold thumbs"")",Expression,Conversational / Everyday Phrases,,,,,,
Pójść na skróty ,지름길로 가다 ,,지름길로 가다,지름길로 가다.,짧게 가라,Informal,짧은 거리로 이동.,Informal,모서리를 잘라.,Informal,"To take a shortcut (literally ""to go on shortcuts"")",Expression,Conversational / Everyday Phrases,,,,,,
Mam zimne stopy,나는 발이 차갑다. ,,나는 발이 차갑다.,나는 발이 차갑다.,나는 차가운 발을,Informal,나는 찬 발이 있습니다.,Formal,내 발은 춥다.,Informal,I have cold feet.,Expression,Conversational / Everyday Phrases,,,,,,
Dzidziuś spał jak kamień.,아기는 바위처럼 잠을 잤다. ,,아기는 바위처럼 잠을 잤다.,아기는 바위처럼 잠을 잤다.,그는 돌처럼 잠을 자고 있었다.,Informal,그는 돌을 좋아합니다.,Formal,아기는 돌처럼 잤다.,Informal,The baby slept like a rock.,Expression,Conversational / Everyday Phrases,ChatGPT,,,,,
Zrywać z kimś,누군가와 헤어지다. ,,누군가와 헤어지다.,누군가와 헤어지다.,누군가와 싸우는,Informal,김시와 함께 이동,Informal,누군가와 헤어짐.,Informal,"To break up with someone (literally ""to tear oneself away from someone"")",Expression,Conversational / Everyday Phrases,,,,,,
Mieć pod górkę,고된길을 가다.,,고된길을 가다.,고된길을 가다.,꼭대기에 있어요,Formal,산에서,Informal,내리막 길.,Informal,"To have a difficult time (literally ""to have uphill"")",Expression,Conversational / Everyday Phrases,,,,,,
Czuć się jak ryba w wodzie,물만난 물고기,,물만난 물고기,물만난 물고기.,물 속의 물고기처럼 느껴진다.,Informal,물에 물고기처럼.,Informal,물 속의 물고기 같은 느낌.,Informal,"To feel comfortable (literally ""to feel like a fish in water"")",Expression,Conversational / Everyday Phrases,,,,,,
Robić na złość komuś,나쁜 마음으로 뭔가 하다.,,나쁜 마음으로 뭔가 하다.,나쁜 마음으로 뭔가 하다.,누군가를 화나게 한다.,Formal,커뮤니티의 메시지를 만들려면.,Informal,누군가 를 괴롭히기 위해 그렇게 하라.,Informal,"To do something out of spite (literally ""to do something to someone's harm"")",Expression,Conversational / Everyday Phrases,,,,,,
